Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
24614665,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,FMLE,2000,,,,,,,82.2,82.24073,,,,2020-12-04T16:59:52.247+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614669,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,FMLE,2010,,,,,,,84.0,83.98511,,,,2020-12-04T16:59:52.34+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614673,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,FMLE,2015,,,,,,,84.2,84.16809,,,,2020-12-04T16:59:52.467+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614677,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,FMLE,2019,,,,,,,84.8,84.84017,,,,2020-12-04T16:59:52.577+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614681,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,BTSX,2000,,,,,,,79.7,79.69334,,,,2020-12-04T16:59:52.67+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614685,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,BTSX,2010,,,,,,,81.9,81.9043,,,,2020-12-04T16:59:52.793+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614689,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,BTSX,2015,,,,,,,82.3,82.2783,,,,2020-12-04T16:59:52.887+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614693,WHOSIS_000001,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,BTSX,2019,,,,,,,83.0,83.04064,,,,2020-12-04T16:59:53.03+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614697,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,MLE,2000,,,,,,,75.1,75.09416,,,,2020-12-04T16:59:53.137+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614701,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,MLE,2010,,,,,,,77.6,77.64973,,,,2020-12-04T16:59:53.247+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614705,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,MLE,2015,,,,,,,78.6,78.60368,,,,2020-12-04T16:59:53.327+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
24614709,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,MLE,2019,,,,,,,79.4,79.44242,,,,2020-12-04T16:59:53.45+01:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
24614713,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,FMLE,2000,,,,,,,81.0,80.98243,,,,2020-12-04T16:59:53.59+01:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
24614717,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,FMLE,2010,,,,,,,83.0,82.98865,,,,2020-12-04T16:59:53.7+01:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
24614721,WHOSIS_000001,COUNTRY,AUT,YEAR,EUR,Europe,SEX,FMLE,2015,,,,,,,83.3,83.28748,,,,2020-12-04T16:59:53.78+01:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
